SECURITY ID,OPTION SIDE,PAR VALUE,PRICE,MARKET VALUE,VaR,
LAU1Comdty,None,120,2463.95,295674.00,-1345.96,
QSU1Comdty,None,40,563.25,22530.00,-102.56,
COX1Comdty,None,122,68.20,8320.40,-44.30,
LNU1Comdty,None,49,18682.00,915418.00,-4167.16,
LXU1Comdty,None,37,2959.25,109492.25,-498.43,
NGU1Comdty,None,363,3.85,1398.28,-6.37,
KCU1Comdty,None,69,166.80,11509.20,-52.39,
SBV1Comdty,None,132,17.41,2298.12,-9.95,
CTZ1Comdty,None,61,88.51,5399.11,-29.96,
SMZ1Comdty,None,35,369.70,12939.50,-71.80,
LHV1Comdty,None,85,91.03,7737.13,-38.18,
W U1Comdty,None,60,700.50,42030.00,-153.30,
CCU1Comdty,None,20,2257.00,45140.00,-164.64,
LCQ1Comdty,None,100,119.78,11977.50,-38.11,
BOQ1Comdty,None,39,67.02,2613.78,-8.61,
BOZ1Comdty,None,138,63.93,8822.34,-47.91,
C U1Comdty,None,39,571.75,22298.25,-88.63,
C Z1Comdty,None,222,565.75,125596.50,-728.36,
CCZ1Comdty,None,30,2310.00,69300.00,-409.18,
CLU1Comdty,None,39,67.20,2620.80,-10.63,
CLV1Comdty,None,70,66.62,4663.40,-24.17,
DFU1Comdty,None,145,1761.00,255345.00,-1006.66,
GCQ1Comdty,None,145,1811.40,262653.00,-771.23,
HGU1Comdty,None,97,426.30,41351.10,-161.76,
HOU1Comdty,None,44,201.42,8862.48,-40.35,
JOU1Comdty,None,4,132.85,531.40,-2.15,
KWU1Comdty,None,115,660.25,75928.75,-278.29,
MWU1Comdty,None,3,916.00,2748.00,-10.07,
NGF3Comdty,None,5,3.35,16.76,-0.10,
NGG3Comdty,None,5,3.27,16.37,-0.11,
NGH3Comdty,None,5,3.04,15.22,-0.09,
NGJ3Comdty,None,5,2.65,13.25,-0.10,
NGK2Comdty,None,105,3.01,316.47,-2.15,
NGK3Comdty,None,5,2.60,13.01,-0.08,
NGM3Comdty,None,5,2.63,13.17,-0.10,
NGN2Comdty,None,15,3.08,46.17,-0.35,
NGN3Comdty,None,5,2.68,13.39,-0.09,
BOQ1C59.5Comdty,call,-20,7.55,-151.00,-21.02,
CQ1C550.0Comdty,call,100,23.63,2362.50,-162.80,
CQ1C565.0Comdty,call,100,12.63,1262.50,-562.60,
CCU1C2450.0Comdty,call,50,5.00,250.00,-250.00,
CCU1C2500.Comdty,call,100,3.00,300.00,-300.00,
CLU1C69.0Comdty,call,100,0.31,31.00,-31.00,
CLN1C74.0Comdty,call,50,0.01,0.50,-0.50,
CLN1C71.0Comdty,call,100,0.25,25.00,-25.00,
KCU1C155.0Comdty,call,100,14.31,1431.00,-68.79,
KCU1C160.0Comdty,call,70,11.15,780.50,-80.60,
KCU1C167.5Comdty,call,-100,7.56,-756.00,-506.03,
KCU1C175.0Comdty,call,-35,5.11,-178.85,-178.85,
KWQ1C625.0Comdty,call,150,36.25,5437.50,-1311.58,
LCQ1C122.0Comdty,call,30,0.68,20.25,-20.25,
NGQ1C3.70Comdty,call,-30,0.20,-5.94,-5.94,
NGU1C3.70Comdty,call,50,0.27,13.55,-13.55,
NGU1C4.00Comdty,call,-50,0.14,-6.95,-6.95,
NGV1C3.7Comdty,call,100,0.33,33.40,-33.40,
NGV1C4.05Comdty,call,-100,0.19,-19.00,-19.00,
ODCV1C610.0Comdty,call,100,0.75,75.00,-75.00,
ODCU1C530.0Comdty,call,200,46.88,9375.00,-976.15,
ODCU1C565.0Comdty,call,-200,27.50,-5500.00,-4100.19,
BOQ1P57.5Comdty,put,100,0.02,2.00,-2.00,
CQ1P505.0Comdty,put,100,0.13,12.50,-12.50,
CQ1P515.0Comdty,put,100,0.25,25.00,-25.00,
CQ1P550.0Comdty,put,330,1.88,618.75,-618.75,
