SECURITY ID,OPTION SIDE,PAR VALUE,PRICE,MARKET VALUE,VaR,
LAU1Comdty,None,120,2463.95,295674.00,-448.97,
QSU1Comdty,None,40,563.25,22530.00,-34.64,
COX1Comdty,None,122,68.20,8320.40,-12.83,
LNU1Comdty,None,49,18682.00,915418.00,-1480.89,
LXU1Comdty,None,37,2959.25,109492.25,-159.87,
NGU1Comdty,None,363,3.85,1398.28,-2.27,
KCU1Comdty,None,69,166.80,11509.20,-17.47,
SBV1Comdty,None,132,17.41,2298.12,-3.41,
CTZ1Comdty,None,61,88.51,5399.11,-7.87,
SMZ1Comdty,None,35,369.70,12939.50,-19.55,
LHV1Comdty,None,85,91.03,7737.13,-11.01,
W U1Comdty,None,60,700.50,42030.00,-57.76,
CCU1Comdty,None,20,2257.00,45140.00,-65.18,
LCQ1Comdty,None,100,119.78,11977.50,-17.64,
BOQ1Comdty,None,39,67.02,2613.78,-3.58,
BOZ1Comdty,None,138,63.93,8822.34,-13.44,
C U1Comdty,None,39,571.75,22298.25,-29.00,
C Z1Comdty,None,222,565.75,125596.50,-208.65,
CCZ1Comdty,None,30,2310.00,69300.00,-99.12,
CLU1Comdty,None,39,67.20,2620.80,-3.63,
CLV1Comdty,None,70,66.62,4663.40,-6.78,
DFU1Comdty,None,145,1761.00,255345.00,-353.23,
GCQ1Comdty,None,145,1811.40,262653.00,-393.39,
HGU1Comdty,None,97,426.30,41351.10,-62.16,
HOU1Comdty,None,44,201.42,8862.48,-12.84,
JOU1Comdty,None,4,132.85,531.40,-0.75,
KWU1Comdty,None,115,660.25,75928.75,-120.76,
MWU1Comdty,None,3,916.00,2748.00,-4.19,
NGF3Comdty,None,5,3.35,16.76,-0.03,
NGG3Comdty,None,5,3.27,16.37,-0.02,
NGH3Comdty,None,5,3.04,15.22,-0.02,
NGJ3Comdty,None,5,2.65,13.25,-0.02,
NGK2Comdty,None,105,3.01,316.47,-0.45,
NGK3Comdty,None,5,2.60,13.01,-0.02,
NGM3Comdty,None,5,2.63,13.17,-0.02,
NGN2Comdty,None,15,3.08,46.17,-0.07,
NGN3Comdty,None,5,2.68,13.39,-0.02,
BOQ1C59.5Comdty,call,-20,7.55,-151.00,-21.02,
CQ1C550.0Comdty,call,100,23.63,2362.50,-162.80,
CQ1C565.0Comdty,call,100,12.63,1262.50,-562.60,
CCU1C2450.0Comdty,call,50,5.00,250.00,-24.31,
CCU1C2500.Comdty,call,100,3.00,300.00,-29.17,
CLU1C69.0Comdty,call,100,0.31,31.00,-3.01,
CLN1C74.0Comdty,call,50,0.01,0.50,-0.29,
CLN1C71.0Comdty,call,100,0.25,25.00,-14.58,
KCU1C155.0Comdty,call,100,14.31,1431.00,-68.79,
KCU1C160.0Comdty,call,70,11.15,780.50,-80.60,
KCU1C167.5Comdty,call,-100,7.56,-756.00,-506.03,
KCU1C175.0Comdty,call,-35,5.11,-178.85,-17.39,
KWQ1C625.0Comdty,call,150,36.25,5437.50,-1311.58,
LCQ1C122.0Comdty,call,30,0.68,20.25,-3.38,
NGQ1C3.70Comdty,call,-30,0.20,-5.94,-0.99,
NGU1C3.70Comdty,call,50,0.27,13.55,-1.32,
NGU1C4.00Comdty,call,-50,0.14,-6.95,-0.68,
NGV1C3.7Comdty,call,100,0.33,33.40,-2.27,
NGV1C4.05Comdty,call,-100,0.19,-19.00,-1.29,
ODCV1C610.0Comdty,call,100,0.75,75.00,-5.10,
ODCU1C530.0Comdty,call,200,46.88,9375.00,-976.15,
ODCU1C565.0Comdty,call,-200,27.50,-5500.00,-4100.19,
BOQ1P57.5Comdty,put,100,0.02,2.00,-0.33,
CQ1P505.0Comdty,put,100,0.13,12.50,-2.08,
CQ1P515.0Comdty,put,100,0.25,25.00,-4.17,
CQ1P550.0Comdty,put,330,1.88,618.75,-103.13,
CCV1P2250.0Comdty,put,100,43.00,4300.00,-4282.51,
CCV1P2400.0Comdty,put,-50,130.00,-6500.00,-948.98,
CLU1P70.5Comdty,put,-100,4.55,-455.00,-45.06,
CLN1P69.0Comdty,put,100,2.50,250.00,-9.96,
CLN1P71.7Comdty,put,-35,4.59,-160.65,-24.82,
CLN1P73.0Comdty,put,75,6.07,455.25,-39.68,
CLN1P70.0Comdty,put,-50,3.35,-167.50,-12.48,
CLN1P71.0Comdty,put,50,4.55,227.50,-2.47,
CLQ1P72.0Comdty,put,50,5.65,282.50,-2.54,
GCN1P1770.0Comdty,put,50,1.20,60.00,-35.00,
GCN1P1820.0Comdty,put,50,17.90,895.00,-395.07,
GCQ1P1800.0Comdty,put,50,11.80,590.00,-98.33,
KCU1P140.0Comdty,put,150,0.25,37.50,-3.65,
KCU1P145.0Comdty,put,70,0.56,39.20,-3.81,
KCU1P150.0Comdty,put,-50,1.28,-64.00,-6.22,
KCU1P155.0Comdty,put,-100,2.51,-251.00,-24.40,
NGQ1P2.65Comdty,put,100,0.00,0.10,-0.02,
NGQ1P3.00Comdty,put,50,0.00,0.05,-0.01,
NGQ1P3.20Comdty,put,50,0.00,0.05,-0.01,
NGQ1P3.30Comdty,put,50,0.00,0.05,-0.01,
NGQ1P3.45Comdty,put,30,0.00,0.06,-0.01,
NGQ1P3.50Comdty,put,175,0.00,0.70,-0.12,
NGQ1P3.55Comdty,put,75,0.01,0.38,-0.06,
NGQ1P3.60Comdty,put,80,0.01,0.72,-0.12,
NGU1P3.50Comdty,put,65,0.05,3.32,-0.32,
SQ1P1300.0Comdty,put,100,0.25,25.00,-4.17,
XBQ1P217.0Comdty,put,100,6.29,629.00,-70.90,
TOTAL,,,,2391298.51,-17665.52,-0.739%
,,,,,,
