SECURITY ID,OPTION SIDE,PAR VALUE,PRICE,MARKET VALUE,VaR,
LAU1Comdty,None,120,2463.95,295674,-1203.215297,
QSU1Comdty,None,40,563.25,22530,-101.2203784,
COX1Comdty,None,122,68.2,8320.4,-38.74353676,
LNU1Comdty,None,49,18682,915418,-3296.957211,
LXU1Comdty,None,37,2959.25,109492.25,-458.4623166,
NGU1Comdty,None,363,3.852,1398.276,-5.471241854,
KCU1Comdty,None,69,166.8,11509.2,-40.644634,
SBV1Comdty,None,132,17.41,2298.12,-9.999019016,
CTZ1Comdty,None,61,88.51,5399.11,-30.26229337,
SMZ1Comdty,None,35,369.7,12939.5,-64.43228666,
LHV1Comdty,None,85,91.025,7737.125,-39.04837428,
W U1Comdty,None,60,700.5,42030,-183.4509994,
CCU1Comdty,None,20,2257,45140,-191.058458,
LCQ1Comdty,None,100,119.775,11977.5,-38.96290707,
BOQ1Comdty,None,39,67.02,2613.78,-8.018912046,
BOZ1Comdty,None,138,63.93,8822.34,-45.48199246,
C U1Comdty,None,39,571.75,22298.25,-97.117636,
C Z1Comdty,None,222,565.75,125596.5,-601.3802758,
CCZ1Comdty,None,30,2310,69300,-292.2517531,
CLU1Comdty,None,39,67.2,2620.8,-10.90096329,
CLV1Comdty,None,70,66.62,4663.4,-19.38876881,
DFU1Comdty,None,145,1761,255345,-944.7173743,
GCQ1Comdty,None,145,1811.4,262653,-834.7783841,
HGU1Comdty,None,97,426.3,41351.1,-161.9602989,
HOU1Comdty,None,44,201.42,8862.48,-33.05089048,
JOU1Comdty,None,4,132.85,531.4,-2.499942001,
KWU1Comdty,None,115,660.25,75928.75,-297.4274371,
MWU1Comdty,None,3,916,2748,-9.439740969,
NGF3Comdty,None,5,3.351,16.755,-0.091690184,
NGG3Comdty,None,5,3.273,16.365,-0.132487015,
NGH3Comdty,None,5,3.044,15.22,-0.091447428,
NGJ3Comdty,None,5,2.65,13.25,-0.063249101,
NGK2Comdty,None,105,3.014,316.47,-2.167346278,
NGK3Comdty,None,5,2.601,13.005,-0.113719457,
NGM3Comdty,None,5,2.634,13.17,-0.069511621,
NGN2Comdty,None,15,3.078,46.17,-0.285668286,
NGN3Comdty,None,5,2.678,13.39,-0.078542965,
BOQ1C59.5Comdty,call,-20,7.55,-151,-125.8384756,
CQ1C550.0Comdty,call,100,23.625,2362.5,-2033.278898,
CQ1C565.0Comdty,call,100,12.625,1262.5,-538.1776929,
CCU1C2450.0Comdty,call,50,5,250,-495.4456312,
CCU1C2500.Comdty,call,100,3,300,-1049.10377,
CLU1C69.0Comdty,call,100,0.31,31,-26.52066416,
CLN1C74.0Comdty,call,50,0.01,0.5,-6.533423803,
CLN1C71.0Comdty,call,100,0.25,25,-13.61830125,
KCU1C155.0Comdty,call,100,14.31,1431,-1439.496175,
KCU1C160.0Comdty,call,70,11.15,780.5,-660.6054836,
KCU1C167.5Comdty,call,-100,7.56,-756,-175.7686439,
KCU1C175.0Comdty,call,-35,5.11,-178.85,-24.68083661,
KWQ1C625.0Comdty,call,150,36.25,5437.5,-6453.320279,
LCQ1C122.0Comdty,call,30,0.675,20.25,-12.70015639,
NGQ1C3.70Comdty,call,-30,0.198,-5.94,-0.399483697,
NGU1C3.70Comdty,call,50,0.271,13.55,-0.690851566,
NGU1C4.00Comdty,call,-50,0.139,-6.95,-0.715930578,
NGV1C3.7Comdty,call,100,0.334,33.4,-1.830990759,
NGV1C4.05Comdty,call,-100,0.19,-19,-1.591593763,
ODCV1C610.0Comdty,call,100,0.75,75,-258.5972098,
ODCU1C530.0Comdty,call,200,46.875,9375,-8050.220552,
ODCU1C565.0Comdty,call,-200,27.5,-5500,-984.2912924,
BOQ1P57.5Comdty,put,100,0.02,2,-31.11730596,
